year	consumption	income	wealth	interest	lnconsump	lndpi	lnwealth	dlnconsump	dlndpi	dlnwealth	dinterest	rlnconsump	rlndpi	rlnwealth	rinterest	dconsump	dincome	dwealth	rconsump	rincome	rwealth	rinterest2	time
1947	976.4	1035.2	5166.815	-10.35094	6.883873	6.94235	8.550012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1948	998.1	1090	5280.757	-4.719804	6.905853	6.993933	8.571825	0.0219808	0.0515833	0.0218134	5.631136	4.670862	4.739956	5.795887	-1.359157	21.69995	54.80005	113.9419	704.356	778.5664	3726.352	-1.605787	2
1949	1025.3	1095.6	5607.351	1.044063	6.932741	6.999057	8.631834	0.0268874	0.0051241	0.060009	5.763867	4.690612	4.728332	5.848814	2.576445	27.20007	5.599976	326.5942	725.0278	767.6801	4018.668	2.463987	3
1950	1090.9	1192.7	5759.515	0.407346	6.994758	7.083975	8.658608	0.0620174	0.0849175	0.0267744	-0.636717	4.7439	4.811586	5.856105	0.0683694	65.59998	97.09998	152.1641	782.4448	863.0954	4072.578	0.093246	4
1951	1107.1	1227	6086.056	-5.283152	7.009499	7.112328	8.713756	0.0147409	0.0283527	0.0551472	-5.690498	4.738506	4.812368	5.902559	-5.415405	16.19995	34.30005	326.541	778.9094	868.1835	4353.341	-5.4057	5
1952	1142.4	1266.8	6243.864	-0.277011	7.040886	7.144249	8.739354	0.0313873	0.0319219	0.0255985	5.006141	4.765108	4.835085	5.910253	1.438274	35.30005	39.80005	157.8076	809.3358	897.6646	4412.911	1.312393	6
1953	1197.2	1327.5	6355.613	0.561137	7.087741	7.191053	8.757093	0.0468545	0.0468035	0.0177393	0.838148	4.801772	4.871524	5.919681	0.6510743	54.79993	60.69995	111.749	853.5159	946.3909	4477.185	0.6444741	7
1954	1221.9	1344	6797.027	-0.138476	7.108162	7.203405	8.824241	0.0204215	0.0123525	0.0671473	-0.699613	4.806981	4.868681	5.981069	-0.3206607	24.70007	16.5	441.4141	861.7297	944.6298	4884.979	-0.3072906	8
1955	1310.4	1433.8	7172.242	0.261997	7.178088	7.268084	8.877974	0.0699253	0.0646782	0.0537329	0.400473	4.870275	4.929349	6.013001	0.3069561	88.5	89.80005	375.2153	942.7989	1029.466	5127.398	0.3036567	9
1956	1348.8	1502.3	7375.18	-0.736124	7.206971	7.314753	8.905875	0.028883	0.046669	0.0279016	-0.998121	4.876456	4.955019	6.023458	-0.8211867	38.40002	68.5	202.938	954.5742	1070.95	5217.455	-0.8149442	10
1957	1381.8	1539.5	7315.286	-0.260683	7.231143	7.339213	8.897721	0.0241718	0.0244603	-0.0081539	0.475441	4.891251	4.964327	6.006245	-0.0216851	33	37.19995	-59.89404	976.0218	1087.542	5096.508	-0.0392246	11
1958	1393	1553.7	7869.975	-0.57463	7.239215	7.348394	8.97081	0.0080724	0.0091815	0.0730886	-0.313947	4.891475	4.965567	6.081981	-0.4899939	11.19995	14.19995	554.689	977.2939	1090.551	5669.216	-0.4962051	12
1959	1470.7	1623.8	8188.054	2.295943	7.293494	7.392524	9.010431	0.0542789	0.0441298	0.0396214	2.870573	4.943133	5.006716	6.097872	2.482509	77.69995	70.1001	318.0791	1051.624	1156.379	5820.42	2.468817	13
1960	1510.8	1664.8	8351.757	1.511181	7.320395	7.41746	9.030228	0.0269008	0.0249362	0.0197964	-0.784762	4.952411	5.017324	6.104805	0.7657556	40.1001	41	163.7026	1068.349	1176.29	5888.431	0.8204606	14
1961	1541.2	1720	8971.872	1.296432	7.340317	7.450079	9.10185	0.0199223	0.032619	0.0716219	-0.214749	4.963599	5.041847	6.169999	0.8057958	30.3999	55.19995	620.1152	1086.685	1219.155	6459.297	0.8418025	15
1962	1617.3	1803.5	9091.545	1.395922	7.388514	7.497485	9.1151	0.0481968	0.0474052	0.0132504	0.0994899	5.005328	5.078662	6.159996	0.9750085	76.1001	83.5	119.6729	1153.639	1286.048	6392.412	1.005898	16
1963	1684	1871.5	9436.097	2.057616	7.428927	7.534495	9.152298	0.0404139	0.0370107	0.0371981	0.661694	5.030094	5.100282	6.192892	1.604401	66.69995	68	344.5518	1197.445	1328.928	6700.961	1.637661	17
1964	1784.8	2006.9	10003.4	2.026599	7.487062	7.604347	9.21068	0.0581341	0.0698514	0.058382	-0.0310171	5.075107	5.158117	6.239197	1.358551	100.8	135.4	567.3037	1278.179	1443.871	7164.608	1.407578	18
1965	1897.6	2131	10562.81	2.111669	7.548345	7.664347	9.265095	0.0612836	0.0599999	0.0544147	0.0850701	5.117516	5.195438	6.274657	1.453692	112.7999	124.1	559.4092	1360.654	1527.236	7553.348	1.501979	19
1966	2006.1	2244.6	10522.04	2.020251	7.603948	7.716283	9.261228	0.0556026	0.0519361	-0.0038671	-0.091418	5.153221	5.227894	6.253123	1.334654	108.5	113.6001	-40.76953	1435.219	1603.502	7344.283	1.384968	20
1967	2066.2	2340.5	11312.07	1.212616	7.633466	7.75812	9.333626	0.0295186	0.0418372	0.0723982	-0.8076351	5.164687	5.252869	6.326777	0.5566997	60.09998	95.8999	790.0303	1462.677	1665.226	8146.579	0.6048358	21
1968	2184.2	2448.2	12145.41	1.054986	7.689005	7.803108	9.404707	0.0555387	0.0449882	0.0710812	-0.15763	5.210642	5.284274	6.374352	0.6612852	118	107.7	833.3398	1562.596	1744.075	8742.243	0.6901779	22
1969	2264.8	2524.3	11672.25	1.732154	7.725242	7.833719	9.364969	0.0362368	0.030611	-0.0397377	0.677168	5.228847	5.300279	6.311537	1.389631	80.6001	76.1001	-473.1602	1607.697	1787.774	8018.377	1.414768	23
1970	2317.5	2630	11650.04	1.166228	7.748244	7.874739	9.363065	0.0230026	0.0410199	-0.0019045	-0.565926	5.240085	5.33136	6.322534	0.6038484	52.69995	105.7	-22.20996	1636.149	1870.58	8138.515	0.6451201	24
1971	2405.2	2745.3	12312.92	-0.712241	7.785388	7.917645	9.418405	0.0371442	0.0429063	0.0553398	-1.878469	5.269761	5.360949	6.378492	-1.090881	87.69995	115.3	662.8799	1707.994	1954.081	8808.076	-1.063094	25
1972	2550.5	2874.3	13499.92	-0.155737	7.844045	7.963564	9.510439	0.0586562	0.0459189	0.0920343	0.556504	5.316357	5.392937	6.452559	0.0755068	145.3	129	1187	1826.91	2048.393	9795.653	0.0585364	26
1973	2675.9	3072.3	13080.96	1.413839	7.892041	8.030182	9.478913	0.0479965	0.0666175	-0.0315256	1.569576	5.34531	5.444646	6.391152	1.464402	125.3999	198	-418.96	1908.598	2207.584	9019.592	1.460691	27
1974	2653.7	3051.9	11868.79	-1.042571	7.88371	8.02352	9.381667	-0.0083308	-0.0066624	-0.0972462	-2.45641	5.321396	5.416355	6.304142	-1.501603	-22.19995	-20.40015	-1212.17	1848.672	2127.617	7933.463	-1.467916	28
1975	2710.9	3108.5	12634.36	-3.533585	7.905036	8.041896	9.444176	0.0213256	0.0183764	0.0625086	-2.491014	5.345426	5.436894	6.398223	-3.195093	57.19995	56.6001	765.5703	1912.551	2190.354	9063.707	-3.219934	29
1976	2868.9	3243.5	13456.78	-0.656766	7.961684	8.084408	9.507238	0.0566478	0.0425119	0.0630627	2.876819	5.39515	5.47344	6.440991	0.4904855	158	135	822.4199	2053.342	2308.327	9655.811	0.4062915	30
1977	2992.1	3360.7	13786.31	-1.190427	8.003731	8.119905	9.531431	0.042047	0.0354967	0.0241928	-0.5336609	5.418806	5.495134	6.44471	-0.9771942	123.2002	117.2	329.5293	2129.009	2384.913	9737.92	-0.9928429	31
1978	3124.7	3527.5	14450.5	0.113048	8.047093	8.168344	9.578485	0.0433626	0.04844	0.0470533	1.303475	5.448517	5.53205	6.483908	0.4995447	132.5999	166.8	664.1904	2224.545	2516.454	10302.97	0.4711807	32
1979	3203.2	3628.6	15340	1.70421	8.071905	8.196602	9.638219	0.0248117	0.0282574	0.0597343	1.591162	5.45925	5.54458	6.528366	1.667507	78.5	101.1001	889.5	2263.153	2567.373	10992.66	1.6702	33
1980	3193	3658	15964.95	2.298496	8.068716	8.204672	9.678151	-0.0031891	0.00807	0.0399323	0.594286	5.448005	5.543476	6.548904	1.745189	-10.19995	29.3999	624.9502	2229.337	2566.358	11350	1.785795	34
1981	3236	3741.1	15964.99	4.703847	8.082093	8.227135	9.678153	0.0133772	0.0224628	1.91E-06	2.405351	5.462418	5.563318	6.535941	3.957593	43	83.1001	0.0400391	2275.406	2640.613	11162.03	4.012359	35
1982	3275.5	3791.7	16312.51	4.449027	8.094226	8.24057	9.699688	0.0121326	0.0134354	0.0215349	-0.2548199	5.470207	5.56946	6.557476	2.921826	39.5	50.59985	347.5195	2301.969	2666.213	11509.54	3.033903	36
1983	3454.3	3906.9	16944.85	4.690972	8.147375	8.270499	9.73772	0.0531492	0.0299292	0.0380316	0.2419448	5.519417	5.595027	6.588515	3.246503	178.8	115.2	632.3398	2468.886	2766.19	12037.33	3.352509	37
1984	3640.6	4207.6	17526.75	5.848332	8.199903	8.344647	9.771483	0.0525284	0.0741482	0.0337639	1.15736	5.554689	5.659459	6.609931	4.325311	186.3	300.7002	581.9004	2601.395	3032.233	12429	4.437082	38
1985	3820.9	4347.8	19068.35	4.330504	8.248241	8.377425	9.855785	0.0483379	0.0327778	0.0843019	-1.517828	5.585973	5.668163	6.683271	2.431722	180.2998	140.1997	1541.6	2725.648	3081.969	13795.53	2.571069	39
1986	3981.2	4486.6	20530.04	3.768031	8.289338	8.408851	9.929645	0.0410967	0.0314255	0.0738592	-0.5624731	5.611376	5.688946	6.72976	2.362043	160.3	138.8003	1461.689	2831.706	3178.591	14793.44	2.465225	40
1987	4113.4	4582.5	21235.69	2.819469	8.322005	8.43	9.963438	0.0326672	0.0211496	0.0337934	-0.9485619	5.6307	5.699893	6.739573	1.5961	132.2	95.8999	705.6504	2915.68	3232.734	15059.35	1.68588	41
1988	4279.5	4784.1	22331.99	3.287061	8.361591	8.473053	10.01378	0.0395861	0.0430527	0.0503378	0.467592	5.65968	5.736079	6.77894	2.371662	166.1001	201.6001	1096.301	3042.009	3405.483	15943.36	2.438841	42
1989	4393.7	4906.5	23659.8	4.317956	8.387927	8.498316	10.07153	0.0263357	0.0252628	0.0577564	1.030895	5.673163	5.747364	6.820353	3.250744	114.2002	122.3999	1327.811	3106.239	3467.233	16941.36	3.329064	43
1990	4474.5	5014.2	23105.13	3.595025	8.40615	8.520029	10.04781	0.0182228	0.0217133	-0.0237226	-0.7229309	5.682836	5.760875	6.777878	2.193111	80.7998	107.7002	-554.6699	3152.682	3538.11	15987.22	2.295994	44
1991	4466.6	5033	24050.21	1.802757	8.404383	8.523771	10.0879	-0.0017672	0.0037422	0.0400896	-1.792268	5.675152	5.757567	6.82567	0.6355578	-7.899902	18.7998	945.0801	3120.474	3524.509	17099.17	0.7212157	45
1992	4594.5	5189.3	24418.2	1.007439	8.432615	8.554354	10.10308	0.0282326	0.0305824	0.0151844	-0.795318	5.703959	5.786935	6.827838	0.4221367	127.8999	156.2998	367.9883	3250.751	3675.153	17182.84	0.4650906	46
1993	4748.9	5261.3	25092.33	0.62479	8.465669	8.568133	10.13032	0.0330534	0.0137796	0.0272341	-0.382649	5.727846	5.790785	6.850142	0.2977041	154.3999	72	674.1309	3366.673	3700.131	17746.26	0.3217081	47
1994	4928.1	5397.2	25218.6	2.206002	8.502708	8.593636	10.13534	0.0370398	0.0255022	0.0050192	1.581212	5.754154	5.811814	6.84632	2.003151	179.2002	135.9004	126.2695	3499.423	3814.37	17669.72	2.018038	48
1995	5075.6	5539.1	27439.73	3.333143	8.5322	8.619587	10.21975	0.0294914	0.0259514	0.0844107	1.127141	5.77162	5.829485	6.929101	2.616919	147.5	141.8999	2221.131	3593.011	3915.385	19852.87	2.669481	49
1996	5237.5	5677.7	29448.19	3.083201	8.5636	8.644301	10.29039	0.0313997	0.0247145	0.0706406	-0.2499421	5.793444	5.845774	6.972336	2.001027	161.8999	138.6001	2008.459	3710.537	4011.296	21193.11	2.080445	50
1997	5423.9	5854.5	32664.07	3.12	8.598571	8.674966	10.39403	0.0349712	0.0306644	0.1036425	0.036799	5.818221	5.868414	7.053043	2.118975	186.3999	176.7998	3215.881	3848.23	4146.398	23804.76	2.192438	51
1998	5683.7	6168.6	35587.02	3.583909	8.645358	8.727227	10.47974	0.0467873	0.0522614	0.0857058	0.4639091	5.853654	5.91072	7.105099	2.570936	259.8003	314.1001	2922.949	4051.953	4407.31	25760.23	2.645276	52
